"Date"	"amr"	"amr_class"
2016-11-01	3.66319204328398	"Amphenicol"
2016-12-01	1.43663102263636	"Amphenicol"
2017-01-01	-0.12167163642841	"Amphenicol"
2017-02-01	-3.12849906064911	"Amphenicol"
2017-03-01	-1.72878880331957	"Amphenicol"
2017-04-01	1.95490124188328	"Amphenicol"
2017-05-01	1.59272266261537	"Amphenicol"
2017-06-01	1.61037249625447	"Amphenicol"
2017-07-01	-1.14545925663596	"Amphenicol"
2017-08-01	-0.269336907562195	"Amphenicol"
2017-09-01	0.0258878620154697	"Amphenicol"
2017-10-01	-0.747652437505657	"Amphenicol"
2017-11-01	-0.123711063000311	"Amphenicol"
2017-12-01	1.18174486568937	"Amphenicol"
2018-01-01	1.1864310407057	"Amphenicol"
2018-02-01	1.84212094434675	"Amphenicol"
2018-03-01	0.367449834620114	"Amphenicol"
2018-04-01	0.40343615654329	"Amphenicol"
2018-05-01	-0.00514841968961832	"Amphenicol"
2018-06-01	-2.25180451333526	"Amphenicol"
2018-07-01	-4.14972345114911	"Amphenicol"
2018-08-01	-2.76602485288841	"Amphenicol"
2018-09-01	0.727080719228152	"Amphenicol"
2018-10-01	1.9399665812858	"Amphenicol"
2018-11-01	1.13675320404466	"Amphenicol"
2018-12-01	0.523583046256228	"Amphenicol"
2019-01-01	0.914170255720308	"Amphenicol"
2019-02-01	1.37239880764388	"Amphenicol"
2019-03-01	0.359995935704031	"Amphenicol"
2019-04-01	-1.55351754949147	"Amphenicol"
2019-05-01	-1.49099640211799	"Amphenicol"
2019-06-01	2.53427572325782	"Amphenicol"
2019-07-01	1.59373242242653	"Amphenicol"
2019-08-01	-1.6532283601228	"Amphenicol"
2019-09-01	-1.83973207412973	"Amphenicol"
2019-10-01	-3.03121193012475	"Amphenicol"
2019-11-01	0.0837782666127396	"Amphenicol"
2019-12-01	-0.445291886722341	"Amphenicol"
2020-01-01	-1.34969842833651	"Amphenicol"
2020-02-01	1.08510150648485	"Amphenicol"
2020-03-01	2.08781974589433	"Amphenicol"
2020-04-01	1.11622148134274	"Amphenicol"
2020-05-01	-0.0988297338291559	"Amphenicol"
2020-06-01	-0.698290041537224	"Amphenicol"
2020-07-01	-2.34146275937969	"Amphenicol"
2020-08-01	-2.8587850271013	"Amphenicol"
2020-09-01	-3.27301248607127	"Amphenicol"
2020-10-01	1.24300858825072	"Amphenicol"
2020-11-01	5.61085365667179	"Amphenicol"
2020-12-01	3.95203185194449	"Amphenicol"
2021-01-01	2.48326574416759	"Amphenicol"
2021-02-01	-0.546026749851201	"Amphenicol"
2021-03-01	-2.69266008835413	"Amphenicol"
2021-04-01	-1.12714373854869	"Amphenicol"
2021-05-01	-1.93279172803503	"Amphenicol"
2021-06-01	0.476838649054944	"Amphenicol"
2021-07-01	2.35340549878853	"Amphenicol"
2021-08-01	-0.520145232913972	"Amphenicol"
2021-09-01	1.10652360609321	"Amphenicol"
2021-10-01	-1.97656055663006	"Amphenicol"
2021-11-01	-0.47589621210755	"Amphenicol"
2021-12-01	2.91662395602597	"Amphenicol"
2022-01-01	2.00902233548761	"Amphenicol"
2022-02-01	3.29489106371913	"Amphenicol"
2022-03-01	3.07356978507987	"Amphenicol"
2022-04-01	0.601678549749042	"Amphenicol"
